set,card_name,card_number,quantity,batch_start_time,scraped_at,ungraded,grade_7,grade_8,grade_9,grade_95,psa_10,status,error_type,error_message,url
pokemon-twilight-masquerade,snorunt,51,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:59:10.392848,$0.69,,,$11.24,$12.00,$33.41,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/snorunt-51
pokemon-destined-rivals,hydrapple,18,1,2026-02-18T22:30:10.450954,2026-02-18T22:30:10.474355,$0.68,,,$10.69,$12.00,$32.30,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/hydrapple-18
pokemon-black-bolt,carracosta,23,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:54:09.641807,$0.67,,,$10.24,$11.00,$30.85,,,,https://www.pricecharting.com/game/pokemon-black-bolt/carracosta-23
pokemon-destined-rivals,marnie's-morgrem,135,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:17:23.458806,$0.67,,,$10.63,$12.00,$32.13,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/marnie%27s-morgrem-135
pokemon-destined-rivals,team-rocket's-porygon-reverse-holo,153,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:44:42.884528,$0.67,,,$10.96,$12.00,$33.25,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-porygon-reverse-holo-153
pokemon-twilight-masquerade,enamorus,93,1.0,2026-01-24T17:53:08.806524,2026-01-24T17:54:22.189043,$0.67,,$7.51,$8.00,$9.00,$19.69,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/enamorus-93
pokemon-twilight-masquerade,munkidori,95,1.0,2026-01-29T22:16:22.920602,2026-01-29T22:19:34.823957,$0.67,,,,,$22.50,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/munkidori-95
pokemon-twilight-masquerade,tatsugiri-reverse-holo,131,,2026-01-07T00:43:59.337569,2026-01-07T00:53:14.990040,$0.67,,,$11.06,$12.00,$60.05,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/tatsugiri-reverse-holo-131
pokemon-destined-rivals,zamazenta,146,,2026-01-07T00:43:59.337569,2026-01-07T00:48:47.297855,$0.66,,,$10.30,$11.00,$50.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/zamazenta-146
pokemon-black-bolt,n's-plan,83,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:56:09.487159,$0.64,,,$10.96,$12.00,$21.50,,,,https://www.pricecharting.com/game/pokemon-black-bolt/n%27s-plan-83
pokemon-twilight-masquerade,lucky-helmet-reverse-holo,158,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:33:36.488287,$0.64,,,$5.50,$6.00,$33.62,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/lucky-helmet-reverse-holo-158
pokemon-destined-rivals,ethan's-pinsir-reverse-holo,1,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:42:45.093980,$0.63,,,$10.90,$12.00,$33.06,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-pinsir-reverse-holo-1
pokemon-destined-rivals,smoliv-reverse-holo,21,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:42:57.060897,$0.63,,,$10.99,$12.00,$33.34,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/smoliv-reverse-holo-21
pokemon-destined-rivals,team-rocket's-flaafy-reverse-holo,73,,2026-01-07T00:43:59.337569,2026-01-07T00:46:37.413492,$0.63,,,$10.50,$12.00,$32.57,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-flaafy-reverse-holo-73
pokemon-destined-rivals,team-rocket's-giovanni,174,,2026-01-07T00:43:59.337569,2026-01-07T00:49:59.561934,$0.63,,$15.50,$17.00,$19.00,$42.65,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-giovanni-174
pokemon-white-flare,zoroark,62,,2026-01-07T00:43:59.337569,2026-01-07T00:56:50.448025,$0.63,,,$59.00,$65.00,$127.50,,,,https://www.pricecharting.com/game/pokemon-white-flare/zoroark-62
pokemon-destined-rivals,misty's-magikarp,48,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:15:12.684593,$0.62,,$7.75,$9.78,$11.00,$33.38,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/misty%27s-magikarp-48
pokemon-destined-rivals,zeraora,78,,2026-01-07T00:43:59.337569,2026-01-07T00:46:48.212907,$0.61,,,$11.06,$12.00,$33.64,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/zeraora-78
pokemon-twilight-masquerade,tatsugiri,131,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:32:52.822586,$0.61,,,$15.00,$17.00,$33.16,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/tatsugiri-131
pokemon-white-flare,virizion,10,,2026-01-07T00:43:59.337569,2026-01-07T00:54:05.537587,$0.60,,,$15.00,$17.00,$32.18,,,,https://www.pricecharting.com/game/pokemon-white-flare/virizion-10
pokemon-twilight-masquerade,sinistcha,22,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:57:33.986114,$0.59,,$5.55,$5.92,$7.00,$39.17,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/sinistcha-22
pokemon-white-flare,lillipup-reverse,74,,2026-01-07T00:43:59.337569,2026-01-07T00:57:22.209259,$0.58,,,$10.67,$12.00,$26.00,,,,https://www.pricecharting.com/game/pokemon-white-flare/lillipup-reverse-74
pokemon-destined-rivals,buizel,57,,2026-01-07T00:43:59.337569,2026-01-07T00:46:18.348498,$0.57,,,$10.85,$12.00,$40.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/buizel-57
pokemon-destined-rivals,team-rocket's-factory,173,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:18:24.887587,$0.57,,,$10.78,$12.00,$32.64,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-factory-173
pokemon-destined-rivals,team-rocket's-meowth,149,,2026-01-17T15:02:47.633422,2026-01-17T15:05:36.437254,$0.57,,,$13.50,$15.00,$44.98,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-meowth-149
pokemon-journey-together,lillie's-ribombee,67,1,2026-02-18T22:30:10.450954,2026-02-18T22:39:37.974503,$0.57,,,$15.10,$17.00,$39.93,,,,https://www.pricecharting.com/game/pokemon-journey-together/lillie%27s-ribombee-67
pokemon-twilight-masquerade,finizen-reverse-holo,59,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:59:37.052137,$0.57,,,$10.15,$11.00,$30.42,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/finizen-reverse-holo-59
pokemon-destined-rivals,heat-rotom,43,1.0,2026-01-17T16:51:02.914937,2026-01-17T16:51:11.263825,$0.56,,,$10.77,$12.00,$32.60,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/heat-rotom-43
pokemon-destined-rivals,misty's-psyduck,45,,2026-01-07T01:13:32.223987,2026-01-07T01:13:32.240376,$0.56,,$11.34,$17.50,$19.00,$77.83,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/misty%27s-psyduck-45
pokemon-destined-rivals,team-rocket's-watchtower,180,1,2026-02-18T22:30:10.450954,2026-02-18T22:32:37.718484,$0.55,,,$11.50,$13.00,$33.09,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-watchtower-180
pokemon-white-flare,archeops,51,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:23:28.352164,$0.55,,,$9.00,$10.00,$32.63,,,,https://www.pricecharting.com/game/pokemon-white-flare/archeops-51
pokemon-twilight-masquerade,abra-reverse-holo,80,1.0,2026-01-24T17:53:08.806524,2026-01-24T17:54:16.301986,$0.54,,$9.56,$19.98,$22.00,$45.00,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/abra-reverse-holo-80
pokemon-destined-rivals,cynthia's-power-weight,162,,2026-01-07T00:43:59.337569,2026-01-07T00:49:17.817580,$0.52,,,$10.71,$12.00,$32.43,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/cynthia%27s-power-weight-162
pokemon-destined-rivals,ethan's-magcargo,36,1,2026-02-18T22:30:10.450954,2026-02-18T22:30:39.898634,$0.52,,,$14.99,$16.00,$41.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-magcargo-36
pokemon-destined-rivals,taillow,156,,2026-01-07T01:13:32.223987,2026-01-07T01:14:00.471464,$0.52,,,$10.68,$12.00,$32.33,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/taillow-156
pokemon-journey-together,magmortar-reverse-holo,21,1,2026-02-18T22:30:10.450954,2026-02-18T22:35:58.143166,$0.52,,,$11.03,$12.00,$33.30,,,,https://www.pricecharting.com/game/pokemon-journey-together/magmortar-reverse-holo-21
pokemon-twilight-masquerade,iron-leaves,19,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:57:19.702233,$0.52,,$5.51,$7.26,$8.00,$10.00,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/iron-leaves-19
pokemon-white-flare,durant,70,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:33:59.468398,$0.52,,,$10.64,$12.00,$32.21,,,,https://www.pricecharting.com/game/pokemon-white-flare/durant-70
pokemon-journey-together,cubone,76,1,2026-02-18T22:30:10.450954,2026-02-18T22:40:24.780212,$0.51,,,$10.28,$11.00,$69.99,,,,https://www.pricecharting.com/game/pokemon-journey-together/cubone-76
pokemon-journey-together,torchic-reverse-holo,22,1,2026-02-18T22:30:10.450954,2026-02-18T22:36:10.148149,$0.51,,,$10.79,$12.00,$32.53,,,,https://www.pricecharting.com/game/pokemon-journey-together/torchic-reverse-holo-22
pokemon-white-flare,pignite,12,,2026-01-07T00:43:59.337569,2026-01-07T00:54:14.257209,$0.51,,,$10.16,$11.00,$30.57,,,,https://www.pricecharting.com/game/pokemon-white-flare/pignite-12
pokemon-black-bolt,elgyem-reverse,40,,2026-01-05T14:00:30.919912,2026-01-05T14:02:39.577754,$0.50,,,$10.67,$12.00,$32.37,,,,https://www.pricecharting.com/game/pokemon-black-bolt/elgyem-reverse-40
pokemon-black-bolt,landorus-reverse,53,,2026-01-05T14:00:30.919912,2026-01-05T14:03:24.286246,$0.50,,,$9.95,$11.00,$30.66,,,,https://www.pricecharting.com/game/pokemon-black-bolt/landorus-reverse-53
pokemon-black-bolt,petilil-poke-ball,6,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:18:40.327126,$0.50,,,$10.68,$12.00,$32.35,,,,https://www.pricecharting.com/game/pokemon-black-bolt/petilil-poke-ball-6
pokemon-destined-rivals,ethan's-cyndaquil-reverse-holo,32,1,2026-02-18T22:30:10.450954,2026-02-18T22:30:24.068166,$0.50,,,$14.50,$16.00,$31.84,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-cyndaquil-reverse-holo-32
pokemon-destined-rivals,hippowdon-reverse-holo,106,,2026-01-17T15:02:47.633422,2026-01-17T15:04:38.877299,$0.50,,,$11.48,$13.00,$35.02,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/hippowdon-reverse-holo-106
pokemon-destined-rivals,manectric-reverse-holo,76,1,2026-02-18T22:30:10.450954,2026-02-18T22:31:32.490553,$0.50,,,$10.80,$12.00,$32.67,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/manectric-reverse-holo-76
pokemon-destined-rivals,team-rocket's-energy,182,,2026-01-07T00:43:59.337569,2026-01-07T00:50:21.552353,$0.50,,,$10.68,$12.00,$32.33,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-energy-182
pokemon-destined-rivals,team-rocket's-petrel,176,,2026-01-07T01:13:32.223987,2026-01-07T01:14:05.757776,$0.50,,,$10.44,$11.00,$31.49,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-petrel-176
pokemon-journey-together,hop's-dubwool,136,1,2026-02-18T22:30:10.450954,2026-02-18T22:45:55.813701,$0.50,,$42.50,$47.00,$52.00,$56.00,,,,https://www.pricecharting.com/game/pokemon-journey-together/hop%27s-dubwool-136
pokemon-journey-together,iono's-tadbulb-reverse-holo,52,1,2026-02-18T22:30:10.450954,2026-02-18T22:38:33.933687,$0.50,,,$10.18,$11.00,$30.59,,,,https://www.pricecharting.com/game/pokemon-journey-together/iono%27s-tadbulb-reverse-holo-52
pokemon-journey-together,meowscarada-reverse-holo,18,1,2026-02-18T22:30:10.450954,2026-02-18T22:35:33.335106,$0.50,,,$10.70,$12.00,$32.26,,,,https://www.pricecharting.com/game/pokemon-journey-together/meowscarada-reverse-holo-18
pokemon-temporal-forces,buddy-buddy-poffin,144,1.0,2026-01-29T22:16:22.920602,2026-01-29T22:20:57.982339,$0.50,,,$11.55,$13.00,$34.11,,,,https://www.pricecharting.com/game/pokemon-temporal-forces/buddy-buddy-poffin-144
pokemon-twilight-masquerade,clefairy-reverse-holo,78,,2026-01-07T00:43:59.337569,2026-01-07T00:52:31.815624,$0.50,,,$10.21,$11.00,$49.99,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/clefairy-reverse-holo-78
pokemon-twilight-masquerade,floette-reverse-holo,87,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:31:20.344391,$0.50,,,$10.89,$12.00,$32.44,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/floette-reverse-holo-87
pokemon-twilight-masquerade,heracross-reverse-holo,8,1.0,2026-01-24T17:53:08.806524,2026-01-24T17:53:21.045455,$0.50,,,$11.21,$12.00,$33.32,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/heracross-reverse-holo-8
pokemon-twilight-masquerade,trevenant-reverse-holo,13,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:57:05.754044,$0.50,,,$10.49,$12.00,$31.35,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/trevenant-reverse-holo-13
pokemon-twilight-masquerade,walking-wake,63,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:19:13.319348,$0.50,,$2.75,$5.50,$6.00,$19.99,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/walking-wake-63
pokemon-white-flare,joltik-reverse,33,,2026-01-07T00:43:59.337569,2026-01-07T00:55:16.820967,$0.50,,,$10.34,$11.00,$31.18,,,,https://www.pricecharting.com/game/pokemon-white-flare/joltik-reverse-33
pokemon-white-flare,pignite-reverse,12,,2025-12-02T23:44:48.494294,2025-12-02T23:45:31.749162,$0.50,,,$10.77,$12.00,$32.78,,,,https://www.pricecharting.com/game/pokemon-white-flare/pignite-reverse-12
pokemon-white-flare,purrloin-poke-ball,55,,2026-01-07T00:43:59.337569,2026-01-07T00:56:34.107583,$0.50,,,$9.09,$10.00,$21.50,,,,https://www.pricecharting.com/game/pokemon-white-flare/purrloin-poke-ball-55
pokemon-white-flare,ducklett-poke-ball,25,,2026-01-07T00:43:59.337569,2026-01-07T00:54:46.373746,$0.49,,,$10.75,$12.00,$32.65,,,,https://www.pricecharting.com/game/pokemon-white-flare/ducklett-poke-ball-25
pokemon-black-bolt,alomomola-pokeball,24,,2026-01-05T14:00:30.919912,2026-01-05T14:02:11.527552,$0.48,,,$12.50,$14.00,$32.37,,,,https://www.pricecharting.com/game/pokemon-black-bolt/alomomola-pokeball-24
pokemon-destined-rivals,annihilape,92,,2026-01-07T00:43:59.337569,2026-01-07T00:47:04.952795,$0.48,,,$10.61,$12.00,$49.99,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/annihilape-92
pokemon-destined-rivals,misty's-staryu,46,,2026-01-17T15:02:47.633422,2026-01-17T15:03:33.790853,$0.48,,,$10.73,$12.00,$32.46,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/misty%27s-staryu-46
pokemon-twilight-masquerade,glaceon,54,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:59:24.796240,$0.48,$7.50,,$13.97,$15.00,$36.97,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/glaceon-54
pokemon-white-flare,chandelure,18,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:21:28.944510,$0.48,,,$10.50,$12.00,$38.00,,,,https://www.pricecharting.com/game/pokemon-white-flare/chandelure-18
pokemon-twilight-masquerade,torkoal-reverse-holo,30,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:57:46.069009,$0.47,,,$10.54,$12.00,$31.47,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/torkoal-reverse-holo-30
pokemon-journey-together,lycanroc,85,1,2026-02-18T22:30:10.450954,2026-02-18T22:41:19.281419,$0.46,,$5.51,$11.06,$12.00,$33.39,,,,https://www.pricecharting.com/game/pokemon-journey-together/lycanroc-85
pokemon-twilight-masquerade,festival-grounds,149,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:33:17.123653,$0.46,,,$10.70,$12.00,$31.94,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/festival-grounds-149
pokemon-black-bolt,palpitoad-pokeball,20,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:53:58.992413,$0.45,,$6.51,$10.55,$12.00,$31.93,,,,https://www.pricecharting.com/game/pokemon-black-bolt/palpitoad-pokeball-20
pokemon-destined-rivals,cornerstone-mask-ogerpon,111,,2026-01-04T17:25:37.624686,2026-01-04T17:27:15.952086,$0.45,,,$10.46,$12.00,$31.59,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/cornerstone-mask-ogerpon-111
pokemon-white-flare,ignition-energy,86,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:25:13.341412,$0.45,,,$10.68,$12.00,$32.35,,,,https://www.pricecharting.com/game/pokemon-white-flare/ignition-energy-86
pokemon-white-flare,cofagrigus,40,,2026-01-07T00:43:59.337569,2026-01-07T00:55:44.171604,$0.43,,,$10.54,$12.00,$31.89,,,,https://www.pricecharting.com/game/pokemon-white-flare/cofagrigus-40
pokemon-destined-rivals,hearthflame-mask-ogerpon,44,,2026-01-07T00:43:59.337569,2026-01-07T00:45:28.739148,$0.42,,,$10.37,$11.00,$31.26,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/hearthflame-mask-ogerpon-44
pokemon-destined-rivals,squawkabilly-reverse-holo,160,,2026-01-04T17:25:37.624686,2026-01-04T17:27:58.912580,$0.40,,,$10.12,$11.00,$30.42,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/squawkabilly-reverse-holo-160
pokemon-destined-rivals,team-rocket's-arbok-reverse-holo,113,1,2026-02-18T22:30:10.450954,2026-02-18T22:31:45.251109,$0.40,,,$11.30,$12.00,$34.33,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-arbok-reverse-holo-113
pokemon-destined-rivals,team-rocket's-spidops-reverse-holo,20,1,2026-02-18T22:30:10.450954,2026-02-18T22:30:18.622353,$0.40,,,$10.62,$12.00,$32.07,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-spidops-reverse-holo-20
pokemon-journey-together,alolan-graveler-reverse-holo,45,1,2026-02-18T22:30:10.450954,2026-02-18T22:37:57.191999,$0.40,,,$7.50,$8.00,$30.77,,,,https://www.pricecharting.com/game/pokemon-journey-together/alolan-graveler-reverse-holo-45
pokemon-twilight-masquerade,chandelure-reverse-holo,38,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:58:20.594912,$0.40,,,$5.72,$6.00,$31.47,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/chandelure-reverse-holo-38
pokemon-twilight-masquerade,froakie-reverse-holo,56,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:19:00.578830,$0.40,,$10.00,$19.99,$22.00,$59.99,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/froakie-reverse-holo-56
pokemon-white-flare,herdier-reverse,75,,2026-01-07T00:43:59.337569,2026-01-07T00:57:38.619879,$0.40,,,$10.12,$11.00,$21.50,,,,https://www.pricecharting.com/game/pokemon-white-flare/herdier-reverse-75
pokemon-black-bolt,solosis-pokeball,37,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:54:30.074936,$0.39,,$3.25,$10.68,$12.00,$32.36,,,,https://www.pricecharting.com/game/pokemon-black-bolt/solosis-pokeball-37
pokemon-journey-together,cubone-reverse-holo,76,1,2026-02-18T22:30:10.450954,2026-02-18T22:40:29.596790,$0.39,,,$10.45,$12.00,$31.45,,,,https://www.pricecharting.com/game/pokemon-journey-together/cubone-reverse-holo-76
pokemon-journey-together,dunsparce,120,1,2026-02-18T22:30:10.450954,2026-02-18T22:44:36.852081,$0.39,,,$10.25,$11.00,$30.81,,,,https://www.pricecharting.com/game/pokemon-journey-together/dunsparce-120
pokemon-twilight-masquerade,caretaker-reverse-holo,144,1.0,2026-01-24T17:53:08.806524,2026-01-24T17:55:17.841876,$0.39,,,$10.23,$11.00,$30.63,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/caretaker-reverse-holo-144
pokemon-twilight-masquerade,mopeko-reverse-holo,72,1.0,2026-01-23T20:53:06.228900,2026-01-23T21:00:13.892255,$0.39,,,$1.25,$1.00,$31.64,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/mopeko-reverse-holo-72
pokemon-destined-rivals,dipplin,17,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:14:07.501745,$0.38,,,$10.69,$12.00,$32.32,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/dipplin-17
pokemon-destined-rivals,team-rocket's-ariana,171,1,2026-02-18T22:30:10.450954,2026-02-18T22:32:24.233598,$0.38,,,$10.64,$12.00,$32.12,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-ariana-171
pokemon-journey-together,meowscarada,18,1,2026-02-18T22:30:10.450954,2026-02-18T22:35:28.435224,$0.38,,,$8.50,$9.00,$31.63,,,,https://www.pricecharting.com/game/pokemon-journey-together/meowscarada-18
pokemon-twilight-masquerade,perrin,160,1.0,2026-01-24T17:53:08.806524,2026-01-24T17:55:29.596156,$0.38,,,$10.46,$12.00,$31.26,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/perrin-160
pokemon-black-bolt,simisage,5,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:53:29.548391,$0.37,,,$10.34,$11.00,$31.18,,,,https://www.pricecharting.com/game/pokemon-black-bolt/simisage-5
pokemon-black-bolt,volcarona,16,,2026-01-05T14:00:30.919912,2026-01-05T14:01:54.837250,$0.37,,,$9.38,$10.00,$29.00,,,,https://www.pricecharting.com/game/pokemon-black-bolt/volcarona-16
pokemon-journey-together,iono's-kilowattrel-reverse-holo,55,1,2026-02-18T22:30:10.450954,2026-02-18T22:38:49.894213,$0.37,,,$10.97,$12.00,$33.12,,,,https://www.pricecharting.com/game/pokemon-journey-together/iono%27s-kilowattrel-reverse-holo-55
pokemon-journey-together,black-belt's-training,143,1,2026-02-18T22:30:10.450954,2026-02-18T22:46:41.436837,$0.36,,,$10.51,$12.00,$31.63,,,,https://www.pricecharting.com/game/pokemon-journey-together/black-belt%27s-training-143
pokemon-twilight-masquerade,chansey-reverse-holo,133,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:33:01.838529,$0.36,,,$49.00,$54.00,$89.00,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/chansey-reverse-holo-133
pokemon-white-flare,scrafty-poke-ball,58,,2026-01-07T00:43:59.337569,2026-01-07T00:56:44.890971,$0.36,,,$3.25,$4.00,$31.94,,,,https://www.pricecharting.com/game/pokemon-white-flare/scrafty-poke-ball-58
pokemon-destined-rivals,ethan's-quilava,33,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:14:36.770443,$0.35,,,$10.54,$12.00,$31.81,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-quilava-33
pokemon-destined-rivals,mow-rotom,9,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:42:51.778012,$0.35,,,$10.18,$11.00,$30.60,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/mow-rotom-9
pokemon-journey-together,lokix,100,1,2026-02-18T22:30:10.450954,2026-02-18T22:42:44.719544,$0.35,,,$10.44,$11.00,$31.40,,,,https://www.pricecharting.com/game/pokemon-journey-together/lokix-100
pokemon-journey-together,regirock,82,1,2026-02-18T22:30:10.450954,2026-02-18T22:41:03.866025,$0.35,,,$10.53,$12.00,$31.72,,,,https://www.pricecharting.com/game/pokemon-journey-together/regirock-82
pokemon-twilight-masquerade,illumise-reverse-holo,10,,2026-01-07T00:43:59.337569,2026-01-07T00:51:49.573953,$0.35,,,$10.40,$11.00,$31.10,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/illumise-reverse-holo-10
pokemon-twilight-masquerade,kieran,154,1.0,2026-01-24T17:53:08.806524,2026-01-24T17:55:24.477128,$0.35,,,$10.15,$11.00,$30.42,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/kieran-154
pokemon-destined-rivals,lurantis,14,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:13:58.720778,$0.34,,,$10.47,$12.00,$31.57,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/lurantis-14
pokemon-destined-rivals,primeape,91,1.0,2026-01-17T19:34:24.674433,2026-01-17T19:34:30.663481,$0.34,,,$10.52,$12.00,$31.77,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/primeape-91
pokemon-destined-rivals,team-rocket's-grimer-reverse-holo,123,1,2026-02-18T22:30:10.450954,2026-02-18T22:31:50.991452,$0.34,,,$10.58,$12.00,$31.93,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-grimer-reverse-holo-123
pokemon-journey-together,cinccino,126,1,2026-02-18T22:30:10.450954,2026-02-18T22:45:06.645804,$0.34,,,$10.48,$12.00,$31.54,,,,https://www.pricecharting.com/game/pokemon-journey-together/cinccino-126
pokemon-journey-together,n's-pp-up,153,1,2026-02-18T22:30:10.450954,2026-02-18T22:47:50.749584,$0.34,,$25.00,$31.00,$34.00,$135.00,,,,https://www.pricecharting.com/game/pokemon-journey-together/n%27s-pp-up-153
pokemon-journey-together,alolan-golem,46,1,2026-02-18T22:30:10.450954,2026-02-18T22:38:05.202858,$0.33,,,$10.53,$12.00,$31.72,,,,https://www.pricecharting.com/game/pokemon-journey-together/alolan-golem-46
pokemon-twilight-masquerade,drakloak,129,1.0,2026-01-29T22:16:22.920602,2026-01-29T22:20:20.447965,$0.33,,,$10.49,$12.00,$31.34,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/drakloak-129
pokemon-destined-rivals,marnie's-scrafty-reverse-holo,133,,2026-01-07T00:43:59.337569,2026-01-07T00:48:13.369094,$0.32,,,$10.50,$12.00,$31.73,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/marnie%27s-scrafty-reverse-holo-133
pokemon-destined-rivals,wellspring-mask-ogerpon-reverse-holo,67,1,2026-02-18T22:30:10.450954,2026-02-18T22:31:09.222336,$0.32,,,$10.40,$11.00,$31.34,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/wellspring-mask-ogerpon-reverse-holo-67
pokemon-journey-together,accelgor-reverse-holo,13,1,2026-02-18T22:30:10.450954,2026-02-18T22:34:54.757896,$0.32,,,$10.21,$11.00,$30.68,,,,https://www.pricecharting.com/game/pokemon-journey-together/accelgor-reverse-holo-13
pokemon-white-flare,tool-scrapper,85,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:25:09.556399,$0.32,,,$10.45,$12.00,$31.55,,,,https://www.pricecharting.com/game/pokemon-white-flare/tool-scrapper-85
pokemon-black-bolt,cobalion,66,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:55:12.731377,$0.31,,,$9.50,$10.00,$17.43,,,,https://www.pricecharting.com/game/pokemon-black-bolt/cobalion-66
